nqubits,avg l,avg runtime
1,1.0,6.197000038810074e-05
2,6.0,0.0004069360002176836
3,28.0,0.0019770520011661574
4,120.0,0.009773526999197202
5,496.0,0.06673768600012409
6,2016.0,0.7725377360002312
7,8128.0,10.622637279000628
